time,bnds,lat,plev,time_bnds,aps,tm1,O3
2019-07-01 08:00:00,0,85.09653,42.64,2018-02-14 00:24:00,102134.2,256.43518,1.3865599e-06
2019-07-01 08:00:00,0,85.09653,51.43,2018-02-14 00:24:00,102134.2,258.12732,1.5947346e-06
2019-07-01 08:00:00,0,85.09653,61.28,2018-02-14 00:24:00,102134.2,258.76666,1.8426751e-06
2019-07-01 08:00:00,0,85.09653,72.21,2018-02-14 00:24:00,102134.2,259.00525,2.1161322e-06
2019-07-01 08:00:00,0,85.09653,84.23,2018-02-14 00:24:00,102134.2,258.58026,2.4135602e-06
2019-07-01 08:00:00,0,85.09653,97.45,2018-02-14 00:24:00,102134.2,257.66302,2.723742e-06
2019-07-01 08:00:00,0,85.09653,112.0,2018-02-14 00:24:00,102134.2,256.226,3.04611e-06
2019-07-01 08:00:00,0,85.09653,127.99,2018-02-14 00:24:00,102134.2,254.56973,3.3688682e-06
2019-07-01 08:00:00,0,85.09653,145.59,2018-02-14 00:24:00,102134.2,252.84067,3.688687e-06
2019-07-01 08:00:00,0,85.09653,164.95,2018-02-14 00:24:00,102134.2,250.84222,4.0105115e-06
2019-07-01 08:00:00,0,85.09653,186.24,2018-02-14 00:24:00,102134.2,248.9302,4.308201e-06
2019-07-01 08:00:00,0,85.09653,209.56,2018-02-14 00:24:00,102134.2,247.00949,4.5799666e-06
2019-07-01 08:00:00,0,85.09653,234.97,2018-02-14 00:24:00,102134.2,245.1623,4.8111024e-06
2019-07-01 08:00:00,0,85.09653,262.66,2018-02-14 00:24:00,102134.2,243.40833,4.999425e-06
2019-07-01 08:00:00,0,85.09653,292.85,2018-02-14 00:24:00,102134.2,241.64703,5.1498405e-06
2019-07-01 08:00:00,0,85.09653,325.76,2018-02-14 00:24:00,102134.2,239.84317,5.267015e-06
2019-07-01 08:00:00,0,85.09653,361.63,2018-02-14 00:24:00,102134.2,238.07928,5.348841e-06
2019-07-01 08:00:00,0,85.09653,400.73,2018-02-14 00:24:00,102134.2,236.2409,5.4043626e-06
2019-07-01 08:00:00,0,85.09653,443.34,2018-02-14 00:24:00,102134.2,234.35852,5.4333523e-06
2019-07-01 08:00:00,0,85.09653,489.79,2018-02-14 00:24:00,102134.2,232.48221,5.436841e-06
2019-07-01 08:00:00,0,85.09653,540.42,2018-02-14 00:24:00,102134.2,230.6175,5.4209618e-06
2019-07-01 08:00:00,0,85.09653,595.45,2018-02-14 00:24:00,102134.2,228.81808,5.387513e-06
2019-07-01 08:00:00,0,85.09653,655.07,2018-02-14 00:24:00,102134.2,227.15695,5.3343183e-06
2019-07-01 08:00:00,0,85.09653,719.68,2018-02-14 00:24:00,102134.2,225.62665,5.2659893e-06
2019-07-01 08:00:00,0,85.09653,789.69,2018-02-14 00:24:00,102134.2,224.24344,5.180435e-06
2019-07-01 08:00:00,0,85.09653,865.56,2018-02-14 00:24:00,102134.2,223.03479,5.083977e-06
2019-07-01 08:00:00,0,85.09653,947.77,2018-02-14 00:24:00,102134.2,221.94919,4.9820937e-06
2019-07-01 08:00:00,0,85.09653,1036.87,2018-02-14 00:24:00,102134.2,220.95856,4.8772617e-06
